number,linux_name,linux_abi,linux_entry,leonos_status,leonos_dispatch_macro,leonos_dispatch_file,leonos_dispatch_line,verification_scope,verification_evidence
83,mkdir,common,sys_mkdir,routed_not_certified,LINUX_SYS_MKDIR,kernel/ntclks/syscall.c,3968,partial_guest,Static/dynamic musl permission probes PASS in build/musl/permissions-final-probe-serial.log; B06/B10/B16/B17 remaining contracts in ledger
84,rmdir,common,sys_rmdir,routed_not_certified,LINUX_SYS_RMDIR,kernel/ntclks/syscall.c,3993,partial_guest,Static/dynamic musl permission probes PASS in build/musl/permissions-final-probe-serial.log; B06/B10/B16/B17 remaining contracts in ledger
85,creat,common,sys_creat,implemented_pending_runtime,LINUX_SYS_CREAT,kernel/ntclks/syscall.c,3327,partial_guest,Raw creat mode/write/close and descriptor-relative rename round trip PASS in build/musl/abi-probes-qemu-20260908-11.log for static and dynamic musl; full open flag and inode lifetime contracts remain
86,link,common,sys_link,missing_dispatch,,,,not_verified,LTP fstat02 hard-link setup fails ENOSYS; stable inode/dentry references remain unimplemented
87,unlink,common,sys_unlink,routed_not_certified,LINUX_SYS_UNLINK,kernel/ntclks/syscall.c,3993,partial_guest,Static/dynamic musl permission probes PASS in build/musl/permissions-final-probe-serial.log; B06/B10/B16/B17 remaining contracts in ledger
88,symlink,common,sys_symlink,missing_dispatch,,,,not_verified,See LINUX_ABI_PROGRESS_2026-09-08.md; no full ABI certification
89,readlink,common,sys_readlink,implemented_pending_runtime,LINUX_SYS_READLINK,kernel/ntclks/syscall.c,4540,partial_guest,"Native /proc/self and /proc/PID/exe readlink handling with Linux truncation and EINVAL semantics; kernel build passes; guest static musl coverage remains"
90,chmod,common,sys_chmod,routed_not_certified,LINUX_SYS_CHMOD,kernel/ntclks/syscall.c,2936,partial_guest,Static/dynamic musl permission probes PASS in build/musl/permissions-final-probe-serial.log; B06/B10/B16/B17 remaining contracts in ledger
91,fchmod,common,sys_fchmod,routed_not_certified,LINUX_SYS_FCHMOD,kernel/ntclks/syscall.c,2945,partial_guest,LTP fchmod01 8 modes PASS exit 0; musl permission probes PASS; descriptor inode lifecycle and complete special-bit semantics pending
92,chown,common,sys_chown,routed_not_certified,LINUX_SYS_CHOWN,kernel/ntclks/syscall.c,2936,partial_guest,LTP chown01 PASS exit 0; musl UID/GID and EPERM probes PASS; full credential and inode lifecycle semantics pending
93,fchown,common,sys_fchown,routed_not_certified,LINUX_SYS_FCHOWN,kernel/ntclks/syscall.c,2945,partial_guest,Static/dynamic musl permission probes PASS in build/musl/permissions-final-probe-serial.log; B06/B10/B16/B17 remaining contracts in ledger
94,lchown,common,sys_lchown,implemented_pending_runtime,LINUX_SYS_LCHOWN,kernel/ntclks/syscall.c,2936,source_and_build,Shares real chown permission path; symlink inode support remains missing; no lchown-specific guest certification
95,umask,common,sys_umask,implemented_pending_runtime,LINUX_SYS_UMASK,kernel/ntclks/syscall.c,3762,partial_guest,Static/dynamic musl permission probes PASS in build/musl/permissions-final-probe-serial.log; B06/B10/B16/B17 remaining contracts in ledger
96,gettimeofday,common,sys_gettimeofday,routed_not_certified,LINUX_SYS_GETTIMEOFDAY,kernel/ntclks/syscall.c,2873,not_verified,See LINUX_ABI_PROGRESS_2026-09-08.md; no full ABI certification
97,getrlimit,common,sys_getrlimit,routed_not_certified,LINUX_SYS_GETRLIMIT,kernel/ntclks/syscall.c,4154,partial_guest,"NOFILE/AS real soft/hard, shared pthread limits, fork/exec inheritance, cross-process permission, copy-fault commit, zero limits and MAP_FIXED net AS growth PASS: build/musl/rlimit-as-after-serial.log; Linux 6.12 reference PASS: build/musl/rlimit-linux-reference-serial.log; other resources ENOSYS, full capability/reaped-task/exec-AS enforcement remain"
98,getrusage,common,sys_getrusage,implemented_pending_runtime,LINUX_SYS_GETRUSAGE,kernel/ntclks/syscall.c,3141,partial_guest,Raw RUSAGE_SELF structure and resident/time fields PASS in build/musl/abi-probes-qemu-20260908-13.log for static and dynamic musl; children/I-O/page-fault accounting remains incomplete
99,sysinfo,common,sys_sysinfo,implemented_pending_runtime,LINUX_SYS_SYSINFO,kernel/ntclks/syscall.c,3144,partial_guest,"Raw sysinfo layout, mem_unit, uptime, memory and process count PASS in build/musl/abi-probes-qemu-20260908-13.log for static and dynamic musl; load/swap/buffer accounting remains incomplete"
100,times,common,sys_times,implemented_pending_runtime,LINUX_SYS_TIMES,kernel/ntclks/syscall.c,3147,partial_guest,Raw tms layout and scheduler tick return PASS in build/musl/abi-probes-qemu-20260908-13.log for static and dynamic musl; child and system CPU accounting remains incomplete
101,ptrace,64,sys_ptrace,missing_dispatch,,,,not_verified,See LINUX_ABI_PROGRESS_2026-09-08.md; no full ABI certification
102,getuid,common,sys_getuid,routed_not_certified,LINUX_SYS_GETUID,kernel/ntclks/syscall.c,2870,not_verified,See LINUX_ABI_PROGRESS_2026-09-08.md; no full ABI certification
103,syslog,common,sys_syslog,missing_dispatch,,,,not_verified,See LINUX_ABI_PROGRESS_2026-09-08.md; no full ABI certification
104,getgid,common,sys_getgid,routed_not_certified,LINUX_SYS_GETGID,kernel/ntclks/syscall.c,2870,not_verified,See LINUX_ABI_PROGRESS_2026-09-08.md; no full ABI certification
105,setuid,common,sys_setuid,routed_not_certified,LINUX_SYS_SETUID,kernel/ntclks/syscall.c,2872,not_verified,See LINUX_ABI_PROGRESS_2026-09-08.md; no full ABI certification
106,setgid,common,sys_setgid,routed_not_certified,LINUX_SYS_SETGID,kernel/ntclks/syscall.c,2872,not_verified,See LINUX_ABI_PROGRESS_2026-09-08.md; no full ABI certification
107,geteuid,common,sys_geteuid,routed_not_certified,LINUX_SYS_GETEUID,kernel/ntclks/syscall.c,2871,not_verified,See LINUX_ABI_PROGRESS_2026-09-08.md; no full ABI certification
108,getegid,common,sys_getegid,routed_not_certified,LINUX_SYS_GETEGID,kernel/ntclks/syscall.c,2871,not_verified,See LINUX_ABI_PROGRESS_2026-09-08.md; no full ABI certification
109,setpgid,common,sys_setpgid,routed_not_certified,LINUX_SYS_SETPGID,kernel/ntclks/syscall.c,4147,not_verified,See LINUX_ABI_PROGRESS_2026-09-08.md; no full ABI certification
110,getppid,common,sys_getppid,routed_not_certified,LINUX_SYS_GETPPID,kernel/ntclks/syscall.c,4146,not_verified,See LINUX_ABI_PROGRESS_2026-09-08.md; no full ABI certification
111,getpgrp,common,sys_getpgrp,routed_not_certified,LINUX_SYS_GETPGRP,kernel/ntclks/syscall.c,4147,not_verified,See LINUX_ABI_PROGRESS_2026-09-08.md; no full ABI certification
112,setsid,common,sys_setsid,routed_not_certified,LINUX_SYS_SETSID,kernel/ntclks/syscall.c,4148,not_verified,See LINUX_ABI_PROGRESS_2026-09-08.md; no full ABI certification
113,setreuid,common,sys_setreuid,implemented_pending_runtime,LINUX_SYS_SETREUID,kernel/ntclks/syscall_process.c,342,partial_guest,"Raw root and non-root real/effective ID no-op, -1 preservation, three-field readback and non-root EPERM cases pass in static/dynamic build/musl/abi-probes-qemu-20260909-14.log; saved-ID corner cases and credential transitions remain"
114,setregid,common,sys_setregid,implemented_pending_runtime,LINUX_SYS_SETREGID,kernel/ntclks/syscall_process.c,342,partial_guest,"Raw root and non-root real/effective group-ID no-op, -1 preservation and non-root EPERM cases share the Linux identity handler; static/dynamic build/musl/abi-probes-qemu-20260909-14.log passes; saved-ID edges remain"
115,getgroups,common,sys_getgroups,implemented_pending_runtime,LINUX_SYS_GETGROUPS,kernel/ntclks/syscall.c,2918,partial_guest,Static/dynamic musl permission probes PASS in build/musl/permissions-final-probe-serial.log; B06/B10/B16/B17 remaining contracts in ledger
116,setgroups,common,sys_setgroups,implemented_pending_runtime,LINUX_SYS_SETGROUPS,kernel/ntclks/syscall.c,2918,partial_guest,Static/dynamic musl permission probes PASS in build/musl/permissions-final-probe-serial.log; B06/B10/B16/B17 remaining contracts in ledger
117,setresuid,common,sys_setresuid,implemented_pending_runtime,LINUX_SYS_SETRESUID,kernel/ntclks/syscall_process.c,376,partial_guest,"Raw root and non-root three-field UID no-op, -1 preservation and non-root EPERM cases pass in static/dynamic build/musl/abi-probes-qemu-20260909-14.log; full credential transition and exec/set* interactions remain"
118,getresuid,common,sys_getresuid,implemented_pending_runtime,LINUX_SYS_GETRESUID,kernel/ntclks/syscall_process.c,321,partial_guest,"Raw root/non-root three-field UID readback and pointer validation pass in static/dynamic build/musl/abi-probes-qemu-20260909-14.log; cross-thread and exec credential behavior remains"
119,setresgid,common,sys_setresgid,implemented_pending_runtime,LINUX_SYS_SETRESGID,kernel/ntclks/syscall_process.c,376,partial_guest,"Raw root and non-root three-field GID no-op, -1 preservation and non-root EPERM cases share the Linux identity handler; static/dynamic build/musl/abi-probes-qemu-20260909-14.log passes; full credential transitions remain"
120,getresgid,common,sys_getresgid,implemented_pending_runtime,LINUX_SYS_GETRESGID,kernel/ntclks/syscall_process.c,321,partial_guest,"Raw root/non-root three-field GID readback and pointer validation share the Linux identity handler; static/dynamic build/musl/abi-probes-qemu-20260909-14.log passes; cross-thread and exec credential behavior remains"
121,getpgid,common,sys_getpgid,routed_not_certified,LINUX_SYS_GETPGID,kernel/ntclks/syscall.c,4148,partial_guest,"See LINUX_ABI_PROGRESS_2026-09-08.md; no full ABI certification; Removed incorrect cross-UID EPERM; pid_t width, ESRCH and zombie/reaped identity PASS: build/musl/session-notify-probes-serial.log and Linux 6.12 reference"
122,setfsuid,common,sys_setfsuid,implemented_pending_runtime,LINUX_SYS_SETFSUID,kernel/ntclks/syscall_process.c,407,partial_guest,"Returns the previous fsuid and changes filesystem credentials only for root or real/effective/saved UID; raw static/dynamic musl checks pass in build/musl/abi-probes-qemu-20260909-17.log; exec credential transitions and full LTP permission matrix remain pending"
123,setfsgid,common,sys_setfsgid,implemented_pending_runtime,LINUX_SYS_SETFSGID,kernel/ntclks/syscall_process.c,407,partial_guest,"Returns the previous fsgid and changes filesystem credentials only for root or real/effective/saved GID; raw static/dynamic musl checks pass in build/musl/abi-probes-qemu-20260909-17.log; exec credential transitions and full LTP permission matrix remain pending"
124,getsid,common,sys_getsid,implemented_pending_runtime,LINUX_SYS_GETSID,kernel/ntclks/syscall.c,4149,partial_guest,"Native pid_t truncation, self/parent/cross-user/session/zombie/reaped PID queries PASS: build/musl/session-notify-probes-serial.log; Linux 6.12 reference PASS: build/musl/session-linux-reference-after-serial.log; shared thread-group setsid/setpgid, namespaces/LSM and SMP remain"
125,capget,common,sys_capget,missing_dispatch,,,,not_verified,See LINUX_ABI_PROGRESS_2026-09-08.md; no full ABI certification
126,capset,common,sys_capset,missing_dispatch,,,,not_verified,See LINUX_ABI_PROGRESS_2026-09-08.md; no full ABI certification
127,rt_sigpending,64,sys_rt_sigpending,implemented_pending_runtime,LINUX_SYS_RT_SIGPENDING,kernel/ntclks/syscall.c,2880,partial_guest,"Static/dynamic native frames/altstack/SIMD, shared process pending vs TID delivery, SIGALRM/exec and timed interruptions PASS: build/musl/fd-boundaries-after-serial.log; realtime queues, complete siginfo/default/error semantics outstanding"
128,rt_sigtimedwait,64,sys_rt_sigtimedwait,missing_dispatch,,,,not_verified,See LINUX_ABI_PROGRESS_2026-09-08.md; no full ABI certification
129,rt_sigqueueinfo,64,sys_rt_sigqueueinfo,missing_dispatch,,,,not_verified,See LINUX_ABI_PROGRESS_2026-09-08.md; no full ABI certification
130,rt_sigsuspend,common,sys_rt_sigsuspend,routed_not_certified,LINUX_SYS_RT_SIGSUSPEND,kernel/ntclks/syscall.c,2880,partial_guest,"Static/dynamic native frames/altstack/SIMD, shared process pending vs TID delivery, SIGALRM/exec and timed interruptions PASS: build/musl/fd-boundaries-after-serial.log; realtime queues, complete siginfo/default/error semantics outstanding"
131,sigaltstack,64,sys_sigaltstack,implemented_pending_runtime,LINUX_SYS_SIGALTSTACK,kernel/ntclks/syscall.c,2881,partial_guest,"Static/dynamic native frames/altstack/SIMD, shared process pending vs TID delivery, SIGALRM/exec and timed interruptions PASS: build/musl/fd-boundaries-after-serial.log; realtime queues, complete siginfo/default/error semantics outstanding"
132,utime,common,sys_utime,missing_dispatch,,,,not_verified,See LINUX_ABI_PROGRESS_2026-09-08.md; no full ABI certification
133,mknod,common,sys_mknod,missing_dispatch,,,,not_verified,See LINUX_ABI_PROGRESS_2026-09-08.md; no full ABI certification
134,uselib,64,,linux_reserved_or_ni,,,,excluded_linux_reserved,Linux v6.12 reserved/ni; not an implementation obligation
135,personality,common,sys_personality,implemented_pending_runtime,LINUX_SYS_PERSONALITY,kernel/ntclks/syscall_process.c,469,partial_guest,"Native personality query and PER_LINUX=0 setting pass in static/dynamic musl build/musl/abi-probes-qemu-20260909-19.log; unsupported persona flags return EINVAL; full exec personality inheritance and ASLR interactions remain"
136,ustat,common,sys_ustat,missing_dispatch,,,,not_verified,See LINUX_ABI_PROGRESS_2026-09-08.md; no full ABI certification
137,statfs,common,sys_statfs,implemented_pending_runtime,LINUX_SYS_STATFS,kernel/ntclks/syscall.c,3605,partial_guest_and_host,Guest FAT statfs consistency PASS; host real ext2/FAT/exFAT/ISO accounting and debugfs cross-check PASS; full filesystem/error coverage pending
138,fstatfs,common,sys_fstatfs,implemented_pending_runtime,LINUX_SYS_FSTATFS,kernel/ntclks/syscall.c,3605,partial_guest_and_host,Guest FAT statfs consistency PASS; host real ext2/FAT/exFAT/ISO accounting and debugfs cross-check PASS; full filesystem/error coverage pending
139,sysfs,common,sys_sysfs,missing_dispatch,,,,not_verified,See LINUX_ABI_PROGRESS_2026-09-08.md; no full ABI certification
140,getpriority,common,sys_getpriority,routed_not_certified,LINUX_SYS_GETPRIORITY,kernel/ntclks/syscall.c,4151,not_verified,See LINUX_ABI_PROGRESS_2026-09-08.md; no full ABI certification
141,setpriority,common,sys_setpriority,routed_not_certified,LINUX_SYS_SETPRIORITY,kernel/ntclks/syscall.c,4151,not_verified,See LINUX_ABI_PROGRESS_2026-09-08.md; no full ABI certification
142,sched_setparam,common,sys_sched_setparam,implemented_pending_runtime,LINUX_SYS_SCHED_SETPARAM,kernel/ntclks/syscall_process.c,441,partial_guest,"Native SCHED_OTHER priority-zero setter validates target task permissions and sched_param pointer; unsupported priority and real-time policy return EINVAL; raw static/dynamic musl checks pass in build/musl/abi-probes-qemu-20260909-17.log"
143,sched_getparam,common,sys_sched_getparam,implemented_pending_runtime,LINUX_SYS_SCHED_GETPARAM,kernel/ntclks/syscall_process.c,410,partial_guest,"Native target validation and writable sched_param priority output pass for current/valid tasks; invalid PID and bad pointer cases pass in build/musl/abi-probes-qemu-20260909-15.log; policy state, permissions and concurrent scheduler semantics remain pending"
144,sched_setscheduler,common,sys_sched_setscheduler,implemented_pending_runtime,LINUX_SYS_SCHED_SETSCHEDULER,kernel/ntclks/syscall_process.c,441,partial_guest,"Native SCHED_OTHER priority-zero setter validates target task permissions and sched_param pointer; unsupported priority and real-time policy return EINVAL; raw static/dynamic musl checks pass in build/musl/abi-probes-qemu-20260909-17.log"
145,sched_getscheduler,common,sys_sched_getscheduler,implemented_pending_runtime,LINUX_SYS_SCHED_GETSCHEDULER,kernel/ntclks/syscall_process.c,410,partial_guest,"Native target validation and SCHED_OTHER query pass for current/valid tasks; invalid PID case passes in build/musl/abi-probes-qemu-20260909-15.log; policy state, permissions and concurrent scheduler semantics remain pending"
146,sched_get_priority_max,common,sys_sched_get_priority_max,implemented_pending_runtime,LINUX_SYS_SCHED_GET_PRIORITY_MAX,kernel/ntclks/syscall_process.c,401,partial_guest,"Native policy validation returns Linux priority ranges (OTHER/BATCH/IDLE=0, FIFO/RR=99); invalid policy EINVAL passes in static/dynamic build/musl/abi-probes-qemu-20260909-13.log"
147,sched_get_priority_min,common,sys_sched_get_priority_min,implemented_pending_runtime,LINUX_SYS_SCHED_GET_PRIORITY_MIN,kernel/ntclks/syscall_process.c,401,partial_guest,"Native policy validation returns Linux priority ranges (OTHER/BATCH/IDLE=0, FIFO/RR=1); invalid policy EINVAL passes in static/dynamic build/musl/abi-probes-qemu-20260909-13.log"
148,sched_rr_get_interval,common,sys_sched_rr_get_interval,implemented_pending_runtime,LINUX_SYS_SCHED_RR_GET_INTERVAL,kernel/ntclks/syscall_process.c,459,partial_guest,"Returns the current native scheduler tick interval for current/valid targets and validates output pointer and invalid PID; static/dynamic raw musl checks pass in build/musl/abi-probes-qemu-20260909-18.log; policy-specific timing and SMP scheduler behavior remain pending"
149,mlock,common,sys_mlock,implemented_pending_runtime,LINUX_SYS_MLOCK,kernel/ntclks/syscall_mm.c,1082,partial_guest,"Native mapped-range validation and VMA lock state pass in static/dynamic musl build/musl/abi-probes-qemu-20260909-27.log; resident-page accounting, RLIMIT_MEMLOCK and unaligned-range behavior remain"
150,munlock,common,sys_munlock,implemented_pending_runtime,LINUX_SYS_MUNLOCK,kernel/ntclks/syscall_mm.c,1088,partial_guest,"Native mapped-range validation and VMA unlock state pass in static/dynamic musl build/musl/abi-probes-qemu-20260909-27.log; resident-page accounting, RLIMIT_MEMLOCK and unaligned-range behavior remain"
151,mlockall,common,sys_mlockall,implemented_pending_runtime,LINUX_SYS_MLOCKALL,kernel/ntclks/syscall_mm.c,1093,partial_guest,"Native MCL_CURRENT/MCL_FUTURE/MCL_ONFAULT flags and VMA state pass in static/dynamic musl build/musl/abi-probes-qemu-20260909-27.log; stack accounting and RLIMIT_MEMLOCK remain"
152,munlockall,common,sys_munlockall,implemented_pending_runtime,LINUX_SYS_MUNLOCKALL,kernel/ntclks/syscall_mm.c,1108,partial_guest,"Native VMA unlock-all state and future-lock reset pass in static/dynamic musl build/musl/abi-probes-qemu-20260909-27.log; complete shared-mm and exec transitions remain"
153,vhangup,common,sys_vhangup,missing_dispatch,,,,not_verified,See LINUX_ABI_PROGRESS_2026-09-08.md; no full ABI certification
154,modify_ldt,common,sys_modify_ldt,missing_dispatch,,,,not_verified,See LINUX_ABI_PROGRESS_2026-09-08.md; no full ABI certification
155,pivot_root,common,sys_pivot_root,missing_dispatch,,,,not_verified,See LINUX_ABI_PROGRESS_2026-09-08.md; no full ABI certification
156,_sysctl,64,sys_ni_syscall,linux_reserved_or_ni,,,,excluded_linux_reserved,Linux v6.12 reserved/ni; not an implementation obligation
157,prctl,common,sys_prctl,implemented_pending_runtime,LINUX_SYS_PRCTL,kernel/ntclks/syscall_process.c,475,partial_guest,"Native PR_SET_NAME/PR_GET_NAME 16-byte task-name contract and persistent dumpable query/set pass in static/dynamic musl build/musl/prctl-after-serial-2.log; other prctl operations and dumpability inheritance remain unsupported"
158,arch_prctl,common,sys_arch_prctl,implemented_pending_runtime,LINUX_SYS_ARCH_PRCTL,kernel/ntclks/syscall.c,2885,partial_guest,"FS get/set, 32-bit command, writable output and four-level Linux TASK_SIZE_MAX checks PASS: build/musl/tls-after-serial.log; Linux v6.12 reference PASS. GS and other commands remain unimplemented"
159,adjtimex,common,sys_adjtimex,missing_dispatch,,,,not_verified,See LINUX_ABI_PROGRESS_2026-09-08.md; no full ABI certification
160,setrlimit,common,sys_setrlimit,routed_not_certified,LINUX_SYS_SETRLIMIT,kernel/ntclks/syscall.c,4154,partial_guest,"NOFILE/AS real soft/hard, shared pthread limits, fork/exec inheritance, cross-process permission, copy-fault commit, zero limits and MAP_FIXED net AS growth PASS: build/musl/rlimit-as-after-serial.log; Linux 6.12 reference PASS: build/musl/rlimit-linux-reference-serial.log; other resources ENOSYS, full capability/reaped-task/exec-AS enforcement remain"
161,chroot,common,sys_chroot,missing_dispatch,,,,not_verified,See LINUX_ABI_PROGRESS_2026-09-08.md; no full ABI certification
162,sync,common,sys_sync,routed_not_certified,LINUX_SYS_SYNC,kernel/ntclks/syscall.c,3242,partial_guest,Native sync entry returns after synchronous storage writes; full filesystem-wide writeback and error propagation remain
163,acct,common,sys_acct,missing_dispatch,,,,not_verified,See LINUX_ABI_PROGRESS_2026-09-08.md; no full ABI certification
164,settimeofday,common,sys_settimeofday,routed_not_certified,LINUX_SYS_SETTIMEOFDAY,kernel/ntclks/syscall.c,2874,not_verified,See LINUX_ABI_PROGRESS_2026-09-08.md; no full ABI certification
165,mount,common,sys_mount,routed_not_certified,LINUX_SYS_MOUNT,kernel/ntclks/syscall.c,4048,not_verified,See LINUX_ABI_PROGRESS_2026-09-08.md; no full ABI certification
166,umount2,common,sys_umount,routed_not_certified,LINUX_SYS_UMOUNT2,kernel/ntclks/syscall.c,4119,not_verified,See LINUX_ABI_PROGRESS_2026-09-08.md; no full ABI certification
167,swapon,common,sys_swapon,missing_dispatch,,,,not_verified,See LINUX_ABI_PROGRESS_2026-09-08.md; no full ABI certification
168,swapoff,common,sys_swapoff,missing_dispatch,,,,not_verified,See LINUX_ABI_PROGRESS_2026-09-08.md; no full ABI certification
169,reboot,common,sys_reboot,routed_not_certified,LINUX_SYS_REBOOT,kernel/ntclks/syscall.c,2876,not_verified,See LINUX_ABI_PROGRESS_2026-09-08.md; no full ABI certification
170,sethostname,common,sys_sethostname,implemented_pending_runtime,LINUX_SYS_SETHOSTNAME,kernel/ntclks/syscall_process.c,532,partial_guest,"Native hostname update validates root euid, Linux 64-byte limit, exact length and user range; uname returns the persisted value. Static/dynamic musl probes pass in build/musl/utsname-after-serial.log; per-UTS-namespace isolation and full capability checks remain"
171,setdomainname,common,sys_setdomainname,implemented_pending_runtime,LINUX_SYS_SETDOMAINNAME,kernel/ntclks/syscall_process.c,532,partial_guest,"Native domain-name update validates root euid, Linux 64-byte limit, exact length and user range; uname returns the persisted value. Static/dynamic musl probes pass in build/musl/utsname-after-serial.log; per-UTS-namespace isolation and full capability checks remain"
172,iopl,common,sys_iopl,missing_dispatch,,,,not_verified,See LINUX_ABI_PROGRESS_2026-09-08.md; no full ABI certification
173,ioperm,common,sys_ioperm,missing_dispatch,,,,not_verified,See LINUX_ABI_PROGRESS_2026-09-08.md; no full ABI certification
174,create_module,64,,linux_reserved_or_ni,,,,excluded_linux_reserved,Linux v6.12 reserved/ni; not an implementation obligation
175,init_module,common,sys_init_module,missing_dispatch,,,,not_verified,See LINUX_ABI_PROGRESS_2026-09-08.md; no full ABI certification
176,delete_module,common,sys_delete_module,missing_dispatch,,,,not_verified,See LINUX_ABI_PROGRESS_2026-09-08.md; no full ABI certification
177,get_kernel_syms,64,,linux_reserved_or_ni,,,,excluded_linux_reserved,Linux v6.12 reserved/ni; not an implementation obligation
178,query_module,64,,linux_reserved_or_ni,,,,excluded_linux_reserved,Linux v6.12 reserved/ni; not an implementation obligation
179,quotactl,common,sys_quotactl,missing_dispatch,,,,not_verified,See LINUX_ABI_PROGRESS_2026-09-08.md; no full ABI certification
180,nfsservctl,64,,linux_reserved_or_ni,,,,excluded_linux_reserved,Linux v6.12 reserved/ni; not an implementation obligation
181,getpmsg,common,,linux_reserved_or_ni,,,,excluded_linux_reserved,Linux v6.12 reserved/ni; not an implementation obligation
182,putpmsg,common,,linux_reserved_or_ni,,,,excluded_linux_reserved,Linux v6.12 reserved/ni; not an implementation obligation
183,afs_syscall,common,,linux_reserved_or_ni,,,,excluded_linux_reserved,Linux v6.12 reserved/ni; not an implementation obligation
184,tuxcall,common,,linux_reserved_or_ni,,,,excluded_linux_reserved,Linux v6.12 reserved/ni; not an implementation obligation
185,security,common,,linux_reserved_or_ni,,,,excluded_linux_reserved,Linux v6.12 reserved/ni; not an implementation obligation
186,gettid,common,sys_gettid,implemented_pending_runtime,LINUX_SYS_GETTID,kernel/ntclks/syscall.c,2884,partial_guest,Static/dynamic musl TLS/contention/cancel/robust exit/worker exec and FUTEX_WAKE_OP PASS: build/musl/fd-boundaries-after-serial.log; 14 upstream pthread/synchronization cases exit 0: build/musl/final-ltp-serial.log; PI/clone3/full flags and SMP outstanding
187,readahead,common,sys_readahead,implemented_pending_runtime,LINUX_SYS_READAHEAD,kernel/ntclks/syscall.c,3490,partial_guest,"Native fd, signed offset and regular-file/block-device checks pass in static/dynamic musl build/musl/abi-probes-qemu-20260909-22.log; backend cache population and full error matrix remain"
188,setxattr,common,sys_setxattr,missing_dispatch,,,,not_verified,See LINUX_ABI_PROGRESS_2026-09-08.md; no full ABI certification
189,lsetxattr,common,sys_lsetxattr,missing_dispatch,,,,not_verified,See LINUX_ABI_PROGRESS_2026-09-08.md; no full ABI certification
190,fsetxattr,common,sys_fsetxattr,missing_dispatch,,,,not_verified,See LINUX_ABI_PROGRESS_2026-09-08.md; no full ABI certification
191,getxattr,common,sys_getxattr,missing_dispatch,,,,not_verified,See LINUX_ABI_PROGRESS_2026-09-08.md; no full ABI certification
192,lgetxattr,common,sys_lgetxattr,missing_dispatch,,,,not_verified,See LINUX_ABI_PROGRESS_2026-09-08.md; no full ABI certification
193,fgetxattr,common,sys_fgetxattr,missing_dispatch,,,,not_verified,See LINUX_ABI_PROGRESS_2026-09-08.md; no full ABI certification
194,listxattr,common,sys_listxattr,missing_dispatch,,,,not_verified,See LINUX_ABI_PROGRESS_2026-09-08.md; no full ABI certification
195,llistxattr,common,sys_llistxattr,missing_dispatch,,,,not_verified,See LINUX_ABI_PROGRESS_2026-09-08.md; no full ABI certification
196,flistxattr,common,sys_flistxattr,missing_dispatch,,,,not_verified,See LINUX_ABI_PROGRESS_2026-09-08.md; no full ABI certification
197,removexattr,common,sys_removexattr,missing_dispatch,,,,not_verified,See LINUX_ABI_PROGRESS_2026-09-08.md; no full ABI certification
198,lremovexattr,common,sys_lremovexattr,missing_dispatch,,,,not_verified,See LINUX_ABI_PROGRESS_2026-09-08.md; no full ABI certification
199,fremovexattr,common,sys_fremovexattr,missing_dispatch,,,,not_verified,See LINUX_ABI_PROGRESS_2026-09-08.md; no full ABI certification
200,tkill,common,sys_tkill,implemented_pending_runtime,LINUX_SYS_TKILL,kernel/ntclks/syscall.c,4149,partial_guest,"Static/dynamic native frames/altstack/SIMD, shared process pending vs TID delivery, SIGALRM/exec and timed interruptions PASS: build/musl/fd-boundaries-after-serial.log; realtime queues, complete siginfo/default/error semantics outstanding"
201,time,common,sys_time,implemented_pending_runtime,LINUX_SYS_TIME,kernel/ntclks/syscall.c,4147,partial_guest,Raw time_t pointer/return and EFAULT boundary pass in build/musl/abi-probes-qemu-20260909-3.log for static and dynamic musl; realtime source validity and 32-bit compat are outside native scope
202,futex,common,sys_futex,implemented_pending_runtime,LINUX_SYS_FUTEX,kernel/ntclks/syscall.c,4187,partial_guest,Static/dynamic musl TLS/contention/cancel/robust exit/worker exec and FUTEX_WAKE_OP PASS: build/musl/fd-boundaries-after-serial.log; 14 upstream pthread/synchronization cases exit 0: build/musl/final-ltp-serial.log; PI/clone3/full flags and SMP outstanding; read-only shared futex backing-type rules and file-backed exit-write-fault wakeups remain unverified
203,sched_setaffinity,common,sys_sched_setaffinity,routed_not_certified,LINUX_SYS_SCHED_SETAFFINITY,kernel/ntclks/syscall.c,2875,partial_guest,"Native short/long masks, pointer/ESRCH ordering, cross-user EPERM and musl pthread affinity PASS: build/musl/affinity-after-serial.log; Linux v6.12 reference PASS; Picolibc actual-size wrapper tested. B33 capability/cpuset/hotplug and AP scheduling remain"
204,sched_getaffinity,common,sys_sched_getaffinity,routed_not_certified,LINUX_SYS_SCHED_GETAFFINITY,kernel/ntclks/syscall.c,2876,partial_guest,"Native raw byte count, 32-bit PID/length, buffer boundaries and musl pthread affinity PASS: build/musl/affinity-after-serial.log; Linux v6.12 reference PASS; Picolibc wrappers tested in both sysroots. B33 capability/cpuset/hotplug, zombie lifetime and AP scheduling remain"
205,set_thread_area,64,,linux_reserved_or_ni,,,,excluded_linux_reserved,Linux v6.12 reserved/ni; not an implementation obligation
206,io_setup,64,sys_io_setup,missing_dispatch,,,,not_verified,See LINUX_ABI_PROGRESS_2026-09-08.md; no full ABI certification
207,io_destroy,common,sys_io_destroy,missing_dispatch,,,,not_verified,See LINUX_ABI_PROGRESS_2026-09-08.md; no full ABI certification
